user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
613,Female,23,Civil Engineering,"Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Concrete Technology, GIS and Remote Sensing","Concrete Technology, GIS and Remote Sensing","Advanced Structural Engineering, Smart Transportation Systems","Advanced Structural Engineering, Smart Transportation Systems"
614,Female,21,Unknown,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Data Structures and Algorithms, Version Control with Git and GitHub","Data Structures and Algorithms, Version Control with Git and GitHub","Data Science and Big Data Analytics, Blockchain Basics","Data Science and Big Data Analytics, Blockchain Basics"
615,Male,20,Civil Engineering,Unknown,"Engineering Mechanics, Introduction to Python Programming","Basics of Structural Analysis, Concrete Technology","Basics of Structural Analysis, Concrete Technology","Advanced BIM Techniques, Hydrology and Water Resource Engineering","Advanced BIM Techniques, Hydrology and Water Resource Engineering"
616,Male,20,Electrical Engineering,"Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Basics of Power Systems, Introduction to Renewable Energy Systems","Basics of Power Systems, Introduction to Renewable Energy Systems","Advanced Control Systems, Power Electronics Design","Advanced Control Systems, Power Electronics Design"
617,Male,24,Aerospace Engineering,"Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Propulsion Systems, Flight Mechanics","Propulsion Systems, Flight Mechanics","Orbital Mechanics, Spacecraft Avionics","Orbital Mechanics, Spacecraft Avionics"
618,Male,24,Biotechnology/Biomedical Engineering,"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Bioinformatics for Beginners, Healthcare Data Analytics","Bioinformatics for Beginners, Healthcare Data Analytics","Bioinformatics Applications in Genomics, Biostatistics for Biomedical Research","Bioinformatics Applications in Genomics, Biostatistics for Biomedical Research"
619,Female,24,Computer Science and Engineering (CSE),"Engineering Mechanics, Environmental Science and Sustainability",Unknown,"Introduction to Cloud Computing, Object-Oriented Programming with Java","Introduction to Cloud Computing, Object-Oriented Programming with Java","Cloud Architect Essentials, Blockchain Basics","Cloud Architect Essentials, Blockchain Basics"
620,Unknown,19,Computer Science and Engineering (CSE),Unknown,"Environmental Science and Sustainability, Soft Skills for Engineers","Web Development with HTML, CSS, and JavaScript, Database Management Systems","Web Development with HTML, CSS, and JavaScript, Database Management Systems","Artificial Intelligence Foundations, Mobile App Development with Flutter","Artificial Intelligence Foundations, Mobile App Development with Flutter"
621,Female,24,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Introduction to Tissue Engineering, Introduction to Tissue Engineering","Introduction to Tissue Engineering, Introduction to Tissue Engineering","Drug Delivery Systems, Biomedical Signal Processing","Drug Delivery Systems, Biomedical Signal Processing"
622,Male,22,Civil Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Surveying and Geomatics, GIS and Remote Sensing","Surveying and Geomatics, GIS and Remote Sensing","Smart Transportation Systems, Advanced BIM Techniques","Smart Transportation Systems, Advanced BIM Techniques"
623,Male,22,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Environmental Science and Sustainability","Environmental Science and Sustainability, Environmental Science and Sustainability","Introduction to IoT, Digital Circuits and Systems","Introduction to IoT, Digital Circuits and Systems","Digital Image Processing, IoT System Design","Digital Image Processing, IoT System Design"
624,Male,25,Chemical Engineering,"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Catalysis in Chemical Engineering, Petrochemical Process Engineering","Catalysis in Chemical Engineering, Petrochemical Process Engineering"
625,Female,20,Chemical Engineering,"Soft Skills for Engineers, Engineering Mechanics",Unknown,"Petroleum Refining Basics, Mass Transfer Basics","Petroleum Refining Basics, Mass Transfer Basics","Nanotechnology in Chemical Engineering, Chemical Plant Safety Management","Nanotechnology in Chemical Engineering, Chemical Plant Safety Management"
626,Male,19,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mechanics","Introduction to Computer-Aided Design (CAD), Engineering Mechanics","Introduction to Tissue Engineering, Introduction to Molecular Biology","Introduction to Tissue Engineering, Introduction to Molecular Biology","Bioinformatics Applications in Genomics, Biomaterials and Nanotechnology","Bioinformatics Applications in Genomics, Biomaterials and Nanotechnology"
627,Unknown,20,Unknown,"Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Data Structures and Algorithms, Foundations of Cybersecurity","Data Structures and Algorithms, Foundations of Cybersecurity","Cloud Architect Essentials, Artificial Intelligence Foundations","Cloud Architect Essentials, Artificial Intelligence Foundations"
628,Female,23,Unknown,"Introduction to Data Science, Engineering Mathematics",Unknown,"Water Resource Management, Construction Planning and Management","Water Resource Management, Construction Planning and Management","Smart Transportation Systems, Smart Cities and Urban Planning","Smart Transportation Systems, Smart Cities and Urban Planning"
629,Male,21,Aerospace Engineering,"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Introduction to Aerospace Structures, Introduction to Aerospace Structures","Introduction to Aerospace Structures, Introduction to Aerospace Structures","Satellite System Engineering, Aircraft Structures Design","Satellite System Engineering, Aircraft Structures Design"
631,Female,22,Biotechnology/Biomedical Engineering,Unknown,"Soft Skills for Engineers, Introduction to Python Programming","Biomedical Instrumentation, Introduction to Genetic Engineering","Biomedical Instrumentation, Introduction to Genetic Engineering","Medical Devices and Diagnostics, Medical Devices and Diagnostics","Medical Devices and Diagnostics, Medical Devices and Diagnostics"
632,Female,20,Civil Engineering,Unknown,"Engineering Mechanics, Introduction to Python Programming","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Advanced Highway Engineering, Geotechnical Engineering Advanced Concepts","Advanced Highway Engineering, Geotechnical Engineering Advanced Concepts"
633,Female,20,Electronics and Communication Engineering (ECE),"Introduction to Data Science, Basics of Electrical and Electronics Engineering","Introduction to Data Science, Basics of Electrical and Electronics Engineering","Basics of Communication Systems, Analog Electronics Fundamentals","Basics of Communication Systems, Analog Electronics Fundamentals","FPGA Programming, FPGA Programming","FPGA Programming, FPGA Programming"
634,Female,25,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Object-Oriented Programming with Java, Version Control with Git and GitHub","Object-Oriented Programming with Java, Version Control with Git and GitHub","Artificial Intelligence Foundations, Deep Learning with TensorFlow","Artificial Intelligence Foundations, Deep Learning with TensorFlow"
635,Female,21,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Object-Oriented Programming with Java, Database Management Systems","Object-Oriented Programming with Java, Database Management Systems","Mobile App Development with Flutter, Cloud Architect Essentials","Mobile App Development with Flutter, Cloud Architect Essentials"
636,Female,20,Computer Science and Engineering (CSE),"Basics of Electrical and Electronics Engineering, Introduction to Data Science","Basics of Electrical and Electronics Engineering, Introduction to Data Science","Object-Oriented Programming with Java, Data Structures and Algorithms","Object-Oriented Programming with Java, Data Structures and Algorithms","Blockchain Basics, Mobile App Development with Flutter","Blockchain Basics, Mobile App Development with Flutter"
637,Male,21,Chemical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Petroleum Refining Basics, Chemical Process Simulation Using Aspen Plus","Catalysis in Chemical Engineering, Environmental Impact of Chemical Processes","Catalysis in Chemical Engineering, Environmental Impact of Chemical Processes"
638,Male,20,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Foundations of Cybersecurity, Web Development with HTML, CSS, and JavaScript","Foundations of Cybersecurity, Web Development with HTML, CSS, and JavaScript","Cybersecurity and Ethical Hacking, Mobile App Development with Flutter","Cybersecurity and Ethical Hacking, Mobile App Development with Flutter"
639,Male,23,Mechanical Engineering,"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Thermodynamics Basics, Strength of Materials","Thermodynamics Basics, Strength of Materials","Optimization in Mechanical Design, Optimization in Mechanical Design","Optimization in Mechanical Design, Optimization in Mechanical Design"
640,Male,20,Electrical Engineering,"Introduction to Python Programming, Engineering Mechanics","Introduction to Python Programming, Engineering Mechanics","Electrical Machines and Drives, Electromagnetic Fields and Waves","Electrical Machines and Drives, Electromagnetic Fields and Waves","High Voltage Engineering, Renewable Energy Integration","High Voltage Engineering, Renewable Energy Integration"
641,Female,25,Chemical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Energy Management in Process Industries, Energy Management in Process Industries","Energy Management in Process Industries, Energy Management in Process Industries","Advanced Thermodynamics, Advanced Thermodynamics","Advanced Thermodynamics, Advanced Thermodynamics"
642,Male,19,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Digital Signal Processing, Control Systems Fundamentals","Digital Signal Processing, Control Systems Fundamentals","Renewable Energy Integration, Power Electronics Design","Renewable Energy Integration, Power Electronics Design"
643,Male,19,Civil Engineering,"Introduction to Data Science, Introduction to Python Programming",Unknown,"Transportation Engineering Basics, Introduction to BIM (Building Information Modeling)","Transportation Engineering Basics, Introduction to BIM (Building Information Modeling)","Advanced Highway Engineering, Smart Transportation Systems","Advanced Highway Engineering, Smart Transportation Systems"
644,Male,23,Civil Engineering,"Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Soft Skills for Engineers, Introduction to Computer-Aided Design (CAD)","Construction Planning and Management, GIS and Remote Sensing","Construction Planning and Management, GIS and Remote Sensing","Smart Transportation Systems, Smart Transportation Systems","Smart Transportation Systems, Smart Transportation Systems"
645,Female,21,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Healthcare Data Analytics, Introduction to Molecular Biology","Healthcare Data Analytics, Introduction to Molecular Biology","Medical Devices and Diagnostics, Biomedical Signal Processing","Medical Devices and Diagnostics, Biomedical Signal Processing"
646,Female,25,Mechanical Engineering,"Engineering Mathematics, Introduction to Data Science","Engineering Mathematics, Introduction to Data Science","Kinematics of Machines, Strength of Materials","Kinematics of Machines, Strength of Materials","HVAC Systems Design, Robotics and Automation Engineering","HVAC Systems Design, Robotics and Automation Engineering"
647,Female,24,Aerospace Engineering,"Soft Skills for Engineers, Engineering Mathematics","Soft Skills for Engineers, Engineering Mathematics","Flight Mechanics, Satellite Communication Systems","Flight Mechanics, Satellite Communication Systems","UAV Technology, Spacecraft Avionics","UAV Technology, Spacecraft Avionics"
648,Female,25,Unknown,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","Polymer Technology, Polymer Technology","Polymer Technology, Polymer Technology","Environmental Impact of Chemical Processes, Petrochemical Process Engineering","Environmental Impact of Chemical Processes, Petrochemical Process Engineering"
649,Male,19,Mechanical Engineering,Unknown,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Fluid Mechanics, Fluid Mechanics","Fluid Mechanics, Fluid Mechanics","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
650,Unknown,20,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Introduction to Python Programming","Environmental Science and Sustainability, Introduction to Python Programming","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Microprocessors and Microcontrollers, MATLAB Programming for Engineers","Embedded System Design with ARM Cortex, Advanced VLSI Design","Embedded System Design with ARM Cortex, Advanced VLSI Design"
651,Male,22,Mechanical Engineering,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","Introduction to Additive Manufacturing (3D Printing), Finite Element Analysis (FEA)","Introduction to Additive Manufacturing (3D Printing), Finite Element Analysis (FEA)","HVAC Systems Design, Automobile Dynamics","HVAC Systems Design, Automobile Dynamics"
652,Female,20,Biotechnology/Biomedical Engineering,"Soft Skills for Engineers, Engineering Mechanics","Soft Skills for Engineers, Engineering Mechanics","Medical Imaging and Applications, Basics of Bioprocess Engineering","Medical Imaging and Applications, Basics of Bioprocess Engineering","Biomaterials and Nanotechnology, Gene Editing with CRISPR","Biomaterials and Nanotechnology, Gene Editing with CRISPR"
653,Female,19,Computer Science and Engineering (CSE),"Introduction to Python Programming, Environmental Science and Sustainability",Unknown,"Object-Oriented Programming with Java, Database Management Systems","Object-Oriented Programming with Java, Database Management Systems","Deep Learning with TensorFlow, Cybersecurity and Ethical Hacking","Deep Learning with TensorFlow, Cybersecurity and Ethical Hacking"
654,Female,20,Computer Science and Engineering (CSE),"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering",Unknown,"Data Structures and Algorithms, Data Structures and Algorithms","Data Structures and Algorithms, Data Structures and Algorithms","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking","Cybersecurity and Ethical Hacking, Cybersecurity and Ethical Hacking"
655,Female,20,Mechanical Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Introduction to Additive Manufacturing (3D Printing), Fluid Mechanics","Introduction to Additive Manufacturing (3D Printing), Fluid Mechanics","HVAC Systems Design, Introduction to Mechatronics","HVAC Systems Design, Introduction to Mechatronics"
656,Male,23,Civil Engineering,"Soft Skills for Engineers, Engineering Mathematics",Unknown,"Introduction to BIM (Building Information Modeling), Water Resource Management","Introduction to BIM (Building Information Modeling), Water Resource Management","Advanced Highway Engineering, Advanced BIM Techniques","Advanced Highway Engineering, Advanced BIM Techniques"
657,Unknown,22,Electrical Engineering,"Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Soft Skills for Engineers, Basics of Electrical and Electronics Engineering","Electrical Machines and Drives, Introduction to Renewable Energy Systems","Electrical Machines and Drives, Introduction to Renewable Energy Systems","Smart Grid Technology, Renewable Energy Integration","Smart Grid Technology, Renewable Energy Integration"
658,Female,22,Electrical Engineering,"Introduction to Python Programming, Introduction to Data Science","Introduction to Python Programming, Introduction to Data Science","Electrical Machines and Drives, Basics of Power Systems","Electrical Machines and Drives, Basics of Power Systems","IoT Applications in Electrical Engineering, Smart Grid Technology","IoT Applications in Electrical Engineering, Smart Grid Technology"
659,Male,21,Chemical Engineering,"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Petrochemical Process Engineering, Biochemical Engineering","Petrochemical Process Engineering, Biochemical Engineering"
660,Unknown,23,Mechanical Engineering,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Fluid Mechanics, Kinematics of Machines","Fluid Mechanics, Kinematics of Machines","Introduction to Mechatronics, Optimization in Mechanical Design","Introduction to Mechatronics, Optimization in Mechanical Design"
661,Male,21,Chemical Engineering,"Engineering Mathematics, Soft Skills for Engineers","Engineering Mathematics, Soft Skills for Engineers","Petroleum Refining Basics, Petroleum Refining Basics","Petroleum Refining Basics, Petroleum Refining Basics","Biochemical Engineering, Chemical Plant Safety Management","Biochemical Engineering, Chemical Plant Safety Management"
662,Male,21,Computer Science and Engineering (CSE),"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Data Structures and Algorithms, Web Development with HTML, CSS, and JavaScript","Data Structures and Algorithms, Web Development with HTML, CSS, and JavaScript","Mobile App Development with Flutter, Mobile App Development with Flutter","Mobile App Development with Flutter, Mobile App Development with Flutter"
663,Unknown,24,Civil Engineering,Unknown,"Environmental Science and Sustainability, Engineering Mechanics","Transportation Engineering Basics, Concrete Technology","Transportation Engineering Basics, Concrete Technology","Sustainable Construction, Geotechnical Engineering Advanced Concepts","Sustainable Construction, Geotechnical Engineering Advanced Concepts"
664,Male,20,Biotechnology/Biomedical Engineering,Unknown,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Bioinformatics for Beginners, Healthcare Data Analytics","Bioinformatics for Beginners, Healthcare Data Analytics","Advanced Tissue Engineering, Biomaterials and Nanotechnology","Advanced Tissue Engineering, Biomaterials and Nanotechnology"
665,Female,25,Mechanical Engineering,"Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Basics of Robotics, 3D Modeling with SolidWorks","Basics of Robotics, 3D Modeling with SolidWorks","Advanced Manufacturing Techniques, Robotics and Automation Engineering","Advanced Manufacturing Techniques, Robotics and Automation Engineering"
666,Female,25,Aerospace Engineering,"Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Satellite Communication Systems, Basics of Computational Fluid Dynamics (CFD)","Satellite Communication Systems, Basics of Computational Fluid Dynamics (CFD)","Advanced Aerodynamics, Spacecraft Dynamics and Control","Advanced Aerodynamics, Spacecraft Dynamics and Control"
667,Female,25,Unknown,"Introduction to Data Science, Basics of Electrical and Electronics Engineering","Introduction to Data Science, Basics of Electrical and Electronics Engineering","Basics of Aerodynamics, Space Mission Design","Basics of Aerodynamics, Space Mission Design","UAV Technology, Spacecraft Avionics","UAV Technology, Spacecraft Avionics"
668,Female,23,Computer Science and Engineering (CSE),"Introduction to Data Science, Soft Skills for Engineers","Introduction to Data Science, Soft Skills for Engineers","Foundations of Cybersecurity, Database Management Systems","Foundations of Cybersecurity, Database Management Systems","Mobile App Development with Flutter, Blockchain Basics","Mobile App Development with Flutter, Blockchain Basics"
669,Male,20,Computer Science and Engineering (CSE),"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Foundations of Cybersecurity, Version Control with Git and GitHub","Foundations of Cybersecurity, Version Control with Git and GitHub","Cloud Architect Essentials, Deep Learning with TensorFlow","Cloud Architect Essentials, Deep Learning with TensorFlow"
670,Unknown,23,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Introduction to Computer-Aided Design (CAD), Environmental Science and Sustainability","Basics of Communication Systems, Embedded Systems Basics","Basics of Communication Systems, Embedded Systems Basics","Network-on-Chip Architecture, Advanced VLSI Design","Network-on-Chip Architecture, Advanced VLSI Design"
671,Female,23,Chemical Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Petroleum Refining Basics, Energy Management in Process Industries","Petroleum Refining Basics, Energy Management in Process Industries","Catalysis in Chemical Engineering, Petrochemical Process Engineering","Catalysis in Chemical Engineering, Petrochemical Process Engineering"
673,Female,23,Unknown,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Fluid Mechanics, Fluid Mechanics","Fluid Mechanics, Fluid Mechanics","Energy Systems Engineering, Wind and Solar Energy Engineering","Energy Systems Engineering, Wind and Solar Energy Engineering"
674,Male,23,Biotechnology/Biomedical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Introduction to Data Science","Healthcare Data Analytics, Bioinformatics for Beginners","Healthcare Data Analytics, Bioinformatics for Beginners","Biomedical Signal Processing, Biomedical Signal Processing","Biomedical Signal Processing, Biomedical Signal Processing"
675,Male,22,Computer Science and Engineering (CSE),Unknown,"Engineering Mechanics, Basics of Electrical and Electronics Engineering","Web Development with HTML, CSS, and JavaScript, Foundations of Cybersecurity","Web Development with HTML, CSS, and JavaScript, Foundations of Cybersecurity","Data Science and Big Data Analytics, Blockchain Basics","Data Science and Big Data Analytics, Blockchain Basics"
676,Female,25,Aerospace Engineering,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Satellite Communication Systems, Basics of Computational Fluid Dynamics (CFD)","Satellite Communication Systems, Basics of Computational Fluid Dynamics (CFD)","Spacecraft Avionics, Spacecraft Dynamics and Control","Spacecraft Avionics, Spacecraft Dynamics and Control"
677,Male,19,Computer Science and Engineering (CSE),"Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Introduction to Computer-Aided Design (CAD), Soft Skills for Engineers","Version Control with Git and GitHub, Introduction to Cloud Computing","Version Control with Git and GitHub, Introduction to Cloud Computing","Mobile App Development with Flutter, Mobile App Development with Flutter","Mobile App Development with Flutter, Mobile App Development with Flutter"
678,Female,22,Electronics and Communication Engineering (ECE),"Basics of Electrical and Electronics Engineering, Engineering Mathematics",Unknown,"Signals and Systems, Analog Electronics Fundamentals","Signals and Systems, Analog Electronics Fundamentals","Wireless Communication and 5G, FPGA Programming","Wireless Communication and 5G, FPGA Programming"
679,Male,23,Civil Engineering,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","Basics of Structural Analysis, Transportation Engineering Basics","Basics of Structural Analysis, Transportation Engineering Basics","Sustainable Construction, Sustainable Construction","Sustainable Construction, Sustainable Construction"
680,Male,25,Mechanical Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Python Programming","Basics of Electrical and Electronics Engineering, Introduction to Python Programming","3D Modeling with SolidWorks, Introduction to Additive Manufacturing (3D Printing)","3D Modeling with SolidWorks, Introduction to Additive Manufacturing (3D Printing)","HVAC Systems Design, Advanced Manufacturing Techniques","HVAC Systems Design, Advanced Manufacturing Techniques"
681,Female,25,Chemical Engineering,"Environmental Science and Sustainability, Environmental Science and Sustainability",Unknown,"Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Chemical Plant Safety Management, Catalysis in Chemical Engineering","Chemical Plant Safety Management, Catalysis in Chemical Engineering"
682,Unknown,25,Mechanical Engineering,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering",Unknown,"Strength of Materials, Finite Element Analysis (FEA)","Strength of Materials, Finite Element Analysis (FEA)","Optimization in Mechanical Design, Wind and Solar Energy Engineering","Optimization in Mechanical Design, Wind and Solar Energy Engineering"
683,Female,20,Electrical Engineering,"Soft Skills for Engineers, Environmental Science and Sustainability",Unknown,"Digital Signal Processing, Electromagnetic Fields and Waves","Digital Signal Processing, Electromagnetic Fields and Waves","IoT Applications in Electrical Engineering, Advanced Control Systems","IoT Applications in Electrical Engineering, Advanced Control Systems"
684,Male,23,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Engineering Mathematics",Unknown,"Basics of Bioprocess Engineering, Medical Imaging and Applications","Basics of Bioprocess Engineering, Medical Imaging and Applications","Drug Delivery Systems, Medical Devices and Diagnostics","Drug Delivery Systems, Medical Devices and Diagnostics"
685,Female,24,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Introduction to Python Programming","Environmental Science and Sustainability, Introduction to Python Programming","Embedded Systems Basics, Signals and Systems","Embedded Systems Basics, Signals and Systems","IoT System Design, Network-on-Chip Architecture","IoT System Design, Network-on-Chip Architecture"
686,Female,20,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Environmental Science and Sustainability","Introduction to Data Science, Environmental Science and Sustainability","Healthcare Data Analytics, Basics of Bioprocess Engineering","Healthcare Data Analytics, Basics of Bioprocess Engineering","Medical Devices and Diagnostics, Medical Devices and Diagnostics","Medical Devices and Diagnostics, Medical Devices and Diagnostics"
687,Male,21,Electronics and Communication Engineering (ECE),"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Microprocessors and Microcontrollers, Basics of Communication Systems","Microprocessors and Microcontrollers, Basics of Communication Systems","FPGA Programming, Network-on-Chip Architecture","FPGA Programming, Network-on-Chip Architecture"
688,Male,23,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Environmental Science and Sustainability","Introduction to Data Science, Environmental Science and Sustainability","Healthcare Data Analytics, Introduction to Molecular Biology","Healthcare Data Analytics, Introduction to Molecular Biology","Biostatistics for Biomedical Research, Biostatistics for Biomedical Research","Biostatistics for Biomedical Research, Biostatistics for Biomedical Research"
689,Female,22,Aerospace Engineering,"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Introduction to Avionics, Propulsion Systems","Introduction to Avionics, Propulsion Systems","Orbital Mechanics, Orbital Mechanics","Orbital Mechanics, Orbital Mechanics"
690,Female,20,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Biomedical Instrumentation, Bioinformatics for Beginners","Biomedical Instrumentation, Bioinformatics for Beginners","Advanced Tissue Engineering, Gene Editing with CRISPR","Advanced Tissue Engineering, Gene Editing with CRISPR"
691,Female,19,Electrical Engineering,"Introduction to Data Science, Introduction to Data Science","Introduction to Data Science, Introduction to Data Science","Circuit Theory Basics, Introduction to Renewable Energy Systems","Circuit Theory Basics, Introduction to Renewable Energy Systems","Power Electronics Design, Electric Vehicle Systems","Power Electronics Design, Electric Vehicle Systems"
692,Unknown,24,Mechanical Engineering,"Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Introduction to Computer-Aided Design (CAD), Basics of Electrical and Electronics Engineering","Fluid Mechanics, Kinematics of Machines","Fluid Mechanics, Kinematics of Machines","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
693,Unknown,22,Chemical Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Process Engineering Fundamentals, Industrial Safety and Hazard Management","Process Engineering Fundamentals, Industrial Safety and Hazard Management","Petrochemical Process Engineering, Advanced Thermodynamics","Petrochemical Process Engineering, Advanced Thermodynamics"
694,Female,19,Aerospace Engineering,"Engineering Mechanics, Introduction to Data Science","Engineering Mechanics, Introduction to Data Science","Flight Mechanics, Satellite Communication Systems","Flight Mechanics, Satellite Communication Systems","Satellite System Engineering, Rocket Propulsion Systems","Satellite System Engineering, Rocket Propulsion Systems"
695,Unknown,23,Mechanical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Introduction to Python Programming","3D Modeling with SolidWorks, 3D Modeling with SolidWorks","3D Modeling with SolidWorks, 3D Modeling with SolidWorks","Wind and Solar Energy Engineering, HVAC Systems Design","Wind and Solar Energy Engineering, HVAC Systems Design"
696,Female,19,Computer Science and Engineering (CSE),"Engineering Mechanics, Introduction to Python Programming","Engineering Mechanics, Introduction to Python Programming","Database Management Systems, Database Management Systems","Database Management Systems, Database Management Systems","Data Science and Big Data Analytics, DevOps Practices","Data Science and Big Data Analytics, DevOps Practices"
697,Male,25,Electrical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Data Science",Unknown,"Circuit Theory Basics, Digital Signal Processing","Circuit Theory Basics, Digital Signal Processing","Smart Grid Technology, IoT Applications in Electrical Engineering","Smart Grid Technology, IoT Applications in Electrical Engineering"
